id,center,ip_address,disk_id,mac_address
65,4351,10.10.2.124,6479_A76C_90C0_0EA0.,8CEC4B5D74C6
66,4351,10.10.2.142,76UY5W2MS,484D7EA24653
67,4351,10.10.2.113,6479_A76C_90C0_0ED5.,8CEC4B5D6FC5
68,4351,10.10.2.136,6479_A76C_90C0_0FFF.,8CEC4B5C321C
69,4351,10.10.2.122,6479_A76C_90C0_0EC8.,8CEC4B5B19D1
70,4151,10.10.13.23,WD-WMAV34397398,3464A92A06D3
71,3251,192.168.2.105,2204V8522c501019,D017C29AF4E0
72,4151,10.10.11.60,S1VCJ90Z816246,3464A932CB77
73,5251,192.168.3.186,WD-WCC6Y6HEELV6,1CA0B87829A0
74,4151,10.10.11.58,WD-WCAS26591308,3464A929FEAD
75,5251,192.168.3.185,W9APGYAJ,A4AE12F98075
76,4351,10.10.2.137,6479_A76C_90C0_0ECD.,8CEC4B5D5408
77,4151,10.10.13.27,S1XEJ9GB208943,3464A929FEA8
78,4351,10.10.2.112,Z9AQY40N,8CEC4B5D5A6F
79,4351,10.10.2.104,6479_A76C_90C0_0EB1.,8CEC4B5D53C2
80,4351,10.10.2.114,6479_A76C_90C0_0EA6.,8CEC4B5C3232
81,4351,10.10.2.100,6479_A76C_90C0_0FFC.,8CEC4B5D74C1
82,5351,192.168.1.45,Z3TDNV0E,FC4DD42F8887
83,4351,10.10.2.145,6479_A76C_90C0_0EA3.,8CEC4B5D53D5
84,5251,192.168.3.187,WD-WCC6Y6HEE20N,1CA0B87827DC
85,4351,10.10.2.176,Z9AQVX3W,8CEC4B5C323B
86,4351,10.10.2.183,6479_A76C_90C0_0EA1.,8CEC4B5C322E
87,4351,10.10.2.159,6479_A76C_90C0_0EA5.,8CEC4B5D298C
88,4351,10.10.2.146,6479_A76C_90C0_0D84.,8CEC4B5C3221
89,4351,10.10.2.182,6479_A76C_90C0_1008.,8CEC4B5C32B0
90,5251,192.168.3.197,WD-WCC6Y1ZK4E60,1CA0B8786FF9
91,4151,10.10.11.35,9VY4PCAL,18A9051D5DAB
92,1651,192.168.0.158,Z2AXWJ1B,1C1B0D345AE6
93,4351,10.10.2.109,6479_A76C_90C0_0EA7.,8CEC4B5C321B
94,4151,10.10.11.42,9VM94GLM,18A9051E8500
95,4151,10.10.11.28,9RX4TJTJ,0025B3CCF23D
96,4351,10.10.2.126,6479_A76C_90C0_0EC6.,8CEC4B5D74C5
97,8151,10.1.10.44,WD-WCAS27784086,4437E66280FA
98,8151,10.1.10.216,WD-WCAS27671941,4437E663B1B6
99,4351,10.10.2.172,6479_A76C_90C0_1020.,8CEC4B5AC564
100,4151,10.10.11.49,2021111100252,00226422DAD3
101,4351,10.10.2.154,6479_A76C_90C0_0EBB.,8CEC4B5B159A
102,4451,192.168.10.23,WD-WCC6Y4HEX9X9,C85ACF0D32EC
103,4151,10.10.12.4,WD-000000000000000,00237D161D6C
104,4351,10.10.2.178,6479_A76C_90C0_0EDB.,8CEC4B5B1BC9
105,4351,10.10.2.133,6479_A76C_90C0_0EB9.,8CEC4B5B1489
106,4351,10.10.2.149,6479_A76C_90C0_0EB7.,8CEC4B5B1700
107,4151,10.10.11.50,9RX4TFX4,002481918FB6
108,4351,10.10.2.110,6479_A76C_90C0_1000.,8CEC4B5B161B
109,4351,10.10.2.170,6479_A76C_90C0_0ED1.,8CEC4B5B19E0
110,3251,192.168.2.109,185103A004DA,6C626D46BCE1
111,4351,10.10.2.127,6479_A76C_90C0_0EDD.,8CEC4B5B1AEA
112,3151,10.7.1.1,0000_0000_0000_0001_00A0_7523_415B_8153.,2088107255BB
113,5251,192.168.3.198,WD-WCC6Y1ZK486H,1CA0B878255D
114,4351,10.10.2.153,6479_A76C_90C0_0E99.,8CEC4B5B1620
115,3151,10.7.1.4,0000_0000_0000_0001_00A0_7523_415A_0A64.,20881071D3CB
116,4151,10.10.14.25,9VT03WW5,0024811003F6
117,4151,10.10.11.41,9VY2TV4K,00265547B57C
118,1151,192.168.29.18,ZN1XRKF1,74563C201C31
119,8151,10.1.10.47,WD-WCAS2C268058,4437E6158662
120,1151,192.168.29.90,ZN1XRP6Q,74563C2118FC
121,1151,192.168.29.235,ZN1XRN2Y,D85ED3C4EAFE
122,1151,192.168.29.138,ZN1XS20H,74563C201DAE
123,3251,192.168.2.117,2204V8522c501017,8C89A5288BC2
124,1151,192.168.29.58,ZN1XS08E,74563C201C34
125,1151,192.168.223.1,ZN1XRKP4,74563C211C7C
