student_id,trial,passageA,passageB
5251604546,90,90,90
2151601068,90,90,90
5251604537,90,90,90
5451605022,100,90,100
5451605015,100,90,100
5451605028,100,90,90
7151606292,90,90,90
1351600415,90,90,90
5451605027,100,90,100
5451605038,100,90,90
2151601109,90,90,90
5251604534,90,90,90
6552605959,90,90,90
6552605973,90,90,90
8351607243,90,90,90
6552605954,90,90,90
2151601100,90,90,90
1151500140,90,90,90
1151500130,90,90,90
2151601120,90,90,90
6552605955,90,90,90
6552605970,90,90,90
6552605968,90,90,90
1151500129,90,90,90
6552605963,90,90,90
6552605966,90,90,90
6552605976,90,90,90
5451605024,100,90,90
5451605040,100,90,90
5451605006,100,90,90
5451605021,100,90,90
1151500135,90,90,90
6552605962,90,90,90
6552605957,90,90,90
6552605969,90,90,90
6552605961,90,90,90
6552605967,90,90,90
1151500137,90,90,90
6552605972,90,90,90
5451605034,100,90,90
7151706310,90,90,90
6552605960,90,90,90
7151606287,90,90,90
2151601062,90,90,90
7151706309,90,90,90
7151606279,90,90,90
2151601064,90,90,90
6552605964,100,90,100
2151601070,100,90,90
5451605031,100,90,100
5451605023,100,90,100
1151500141,90,90,90
1151500134,90,90,90
1151500139,90,90,90
5251604533,90,90,90
1151500132,90,90,90
4351603620,90,90,90
6552605958,90,90,90
1151600149,90,90,90
1151500138,90,90,90
7151606280,90,90,90
1151500133,90,90,90
1151500144,90,90,90
4351603619,90,90,90
5451605019,100,90,100
5451605041,100,90,90
1351600420,90,90,90
5451605009,100,90,100
5251604532,90,90,90
4351603621,90,90,90
6552605965,90,90,90
6552605975,90,90,90
1151500143,90,90,90
7151606291,90,90,90
7151606299,100,90,100
1151500145,90,90,90
8351607233,90,90,90
5451605013,100,90,90
5451605007,100,90,90
5451605012,100,90,90
2151601099,90,90,90
1351600417,90,90,90
6552605956,90,90,90
7151606295,90,90,90
1151500131,90,90,90
2151601094,90,90,90
7151706316,90,90,90
7151706312,90,90,90
5451605037,100,90,100
7151606305,90,90,90
5451605017,100,90,100
1151500126,90,90,90
5451605016,100,90,90
5451605008,100,90,90
1351600410,90,90,90
1151500127,90,90,90
1151500125,90,90,90
7151606285,90,90,90
1151500123,90,90,90
1151500128,90,90,90
1151500122,90,90,90
7151606302,90,90,90
1151500121,90,90,90
2151601098,90,90,90
7151606304,90,90,90
5451605018,100,90,100
2151601092,90,90,90
7151606283,90,90,90
5451605014,100,90,100
1151500124,90,90,90
1351600421,90,90,90
1151500136,90,90,90
1151600148,90,90,90
7151606303,90,90,90
1151600147,90,90,90
4351603680,90,90,90
7151706317,90,90,90
7151606286,90,90,90
1351600414,90,90,90
4351603679,90,90,90
7151606294,90,90,90
7151706320,90,90,90
2151601086,90,90,90
7551606685,90,90,90
7551606686,90,90,90
1551500643,90,90,90
5451605035,100,90,90
7551606689,90,90,90
7151606298,90,90,90
4351603668,90,90,90
7551606688,90,90,90
5451605030,100,90,90
7551606681,90,90,90
2151601077,90,90,90
2151601082,90,90,90
1552600777,90,90,90
7551606679,90,90,90
7551606682,90,90,90
2151601075,90,90,90
4351603671,90,90,90
7151606284,90,90,90
4351603664,90,90,90
4351603673,90,90,90
2151601076,90,90,90
4351603667,90,90,90
1151600150,90,90,90
4351603674,90,90,90
2151601078,90,90,90
4351603675,90,90,90
4351603670,90,90,90
4351603623,90,90,90
4351603678,90,90,90
4351603676,90,90,90
1351600413,90,90,90
2151601088,90,90,90
7351606533,90,90,90
2151601084,90,90,90
4351603656,90,90,90
4351603657,90,90,90
4351603666,90,90,90
4351603677,90,90,90
5451605020,100,90,90
3151601978,90,90,90
7551606693,90,90,90
4351603626,90,90,90
4351603659,90,90,90
2151601073,90,90,90
4551603816,100,90,90
3151601979,90,90,90
7151606288,90,90,90
8351607224,90,90,90
4551603819,40,90,90
1551500636,90,90,90
4551603817,30,90,90
1551500635,90,90,90
1351600412,90,90,90
4351603662,90,90,90
4251603152,90,90,90
3151601968,90,90,90
4251603151,90,90,90
4551603818,90,90,90
4351603661,90,90,90
3151601980,90,90,90
4251603153,90,90,90
8351607235,90,90,90
4251603165,90,90,90
2151601097,90,90,90
4251603169,90,90,90
4251603150,90,90,90
4351603669,90,90,90
4251603155,90,90,90
4251603173,90,90,90
2351601796,100,90,100
4251603163,90,90,90
4251603148,90,90,90
4251603162,90,90,90
3151601981,90,90,90
4251603161,90,90,90
4251603158,90,90,90
3151601984,90,90,90
4251603171,90,90,90
8351607232,90,90,90
4251603174,90,90,90
4251603157,90,90,90
4251603167,90,90,90
4251603160,90,90,90
4251603175,90,90,90
4251603159,90,90,90
4351603660,90,90,90
6251605553,90,90,90
6251605575,90,90,90
1552600775,90,90,90
3151601986,90,90,90
5152604385,90,90,90
3151601982,90,90,90
6251605576,90,90,90
3151601976,90,90,90
6251605562,90,90,90
4251603170,90,90,90
6251605560,90,90,90
1552600774,90,90,90
5451605029,100,90,90
5351504606,90,90,90
6251605568,90,90,90
4151602775,90,90,90
6251605566,90,90,90
6251605574,90,90,90
5152604394,90,90,90
6251605577,90,90,90
5151603958,90,90,90
1552600771,90,90,90
6251605558,90,90,90
5151603966,90,90,90
3151601983,90,90,90
2351601812,100,90,100
5151603960,90,90,90
2151601074,90,90,90
5151603964,90,90,90
6251605578,90,90,90
5152604387,90,90,90
5152604389,90,90,90
1552600778,90,90,90
