id,student_id,login_time,ip_address,disk_id,mac_address
53,5351604615,2024-06-27 8:38:32,Z3TFELMT,FC4DD4328F77,192.168.1.27
54,1651500865,2024-06-27 8:38:45,Z2AXWJ1B,1C1B0D345AE6,192.168.0.158
55,4151002,2024-06-27 8:38:48,9RX73SY3,0AE0AFA70919,10.10.12.50
56,6351605701,2024-06-27 8:38:56,AA000000000000001414,E454E8D17A6A,10.10.111.67
57,5351604625,2024-06-27 8:39:26,S2AC9ZCN,FC4DD42F854C,192.168.1.66
58,1151500145,2024-06-27 8:39:36,ZN1XQK6W,74563C201DF4,192.168.29.36
59,1151500134,2024-06-27 8:39:56,ZN1XRMNH,74563C2118FE,192.168.29.114
60,1552600775,2024-06-27 8:39:59,ZN1619RX,A4FC776B1473,192.168.1.104
61,4151002,2024-06-27 8:40:14,9RX73SY3,0AE0AFA70919,10.10.12.50
62,5351604627,2024-06-27 8:40:22,Z3TDG982,FC4DD42F85CF,192.168.1.43
63,2151601109,2024-06-27 8:40:36,AA000000000000001248,B083FE543A7B,192.168.11.78
64,2151601110,2024-06-27 8:40:44,AA000000000000003428,B083FE70848F,192.168.11.149
65,6351605704,2024-06-27 8:40:45,AA000000000000002779,E454E8D360B0,10.10.111.70
66,1151600147,2024-06-27 8:40:51,ZN1XS30J,74563C201FBD,192.168.29.106
67,5351604611,2024-06-27 8:41:05,WD-WCC6Y3NSJP5K,448A5B56CEE0,192.168.1.74
68,1552600776,2024-06-27 8:41:10,ZN16195G,EC5C68162351,192.168.1.107
69,1552600772,2024-06-27 8:41:10,ZN1649PG,EC5C6816273F,192.168.1.109
70,5251604540,2024-06-27 8:41:13,WD-WCC6Y7YZ22TD,F4939FEDD8A1,192.168.2.191
71,1151500130,2024-06-27 8:41:28,ZN1XRDK7,D85ED3C4E8E8,192.168.29.175
72,1552600785,2024-06-27 8:41:29,C02DF48E,EC5C68156BA7,192.168.1.105
73,1151500132,2024-06-27 8:41:31,ZN1XQGPE,74563C211E2D,192.168.29.6
